,LOCALITA,DATA,TMEDIA Â°C,TMIN Â°C,TMAX Â°C,PUNTORUGIADA Â°C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Verona,25/9/2006,"""18,4""","""16,4""","""21""","""17,2""","""93""","""9""","""19""","""37""","""63""","""0""","""0""","""5,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Verona,26/9/2006,"""20,3""","""16,6""","""25,4""","""15,8""","""75""","""11""","""7""","""17""","""0""","""0""","""0""","""1""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Verona,27/9/2006,"""21,3""","""15,6""","""28,4""","""13,8""","""62""","""11""","""6""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Verona,28/9/2006,"""20,6""","""15,8""","""26,4""","""14,8""","""69""","""10""","""6""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Verona,29/9/2006,"""19,8""","""14,4""","""26,4""","""15,5""","""76""","""7""","""4""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Verona,30/9/2006,"""19,7""","""14,4""","""26,2""","""15,9""","""79""","""7""","""4""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Verona,1/10/2006,"""20""","""15,4""","""24,6""","""18,6""","""92""","""9""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Verona,2/10/2006,"""20,7""","""17""","""26""","""17,9""","""84""","""10""","""4""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Verona,3/10/2006,"""20,3""","""16,6""","""25""","""17,6""","""84""","""9""","""11""","""22""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Verona,4/10/2006,"""18,8""","""12""","""25,6""","""11,2""","""61""","""11""","""12""","""28""","""0""","""0""","""0""","""0,5""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Verona,5/10/2006,"""15,5""","""10""","""23,2""","""9,4""","""67""","""11""","""6""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Verona,6/10/2006,"""15,8""","""10""","""21,4""","""11""","""73""","""11""","""3""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Verona,7/10/2006,"""13,9""","""10""","""17,6""","""13,4""","""97""","""6""","""5""","""11""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Verona,8/10/2006,"""15,5""","""8,6""","""23""","""10,8""","""74""","""9""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Verona,9/10/2006,"""15,1""","""8,2""","""22,6""","""10,4""","""73""","""10""","""3""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Verona,10/10/2006,"""15,1""","""7,8""","""23,4""","""9,5""","""69""","""10""","""4""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Verona,11/10/2006,"""15,2""","""8""","""23,6""","""8,8""","""66""","""10""","""6""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Verona,12/10/2006,"""14,6""","""8""","""21,2""","""10,3""","""75""","""8""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Verona,13/10/2006,"""15,1""","""9""","""23""","""11,6""","""80""","""6""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Verona,14/10/2006,"""15,5""","""9,8""","""21,2""","""9,1""","""66""","""11""","""11""","""34""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Verona,15/10/2006,"""15,5""","""9""","""22,2""","""7,9""","""60""","""10""","""7""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Verona,16/10/2006,"""14,1""","""6""","""20,8""","""8,1""","""67""","""11""","""9""","""22""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Verona,17/10/2006,"""13,2""","""7,8""","""18,8""","""6,5""","""64""","""10""","""6""","""18""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Verona,18/10/2006,"""11,3""","""5""","""18""","""7,6""","""78""","""8""","""3""","""8""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Verona,19/10/2006,"""13,5""","""9,8""","""18""","""10,4""","""82""","""6""","""9""","""18""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Verona,20/10/2006,"""13,4""","""11,6""","""16""","""12,9""","""97""","""4""","""5""","""13""","""0""","""0""","""0""","""5,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Verona,21/10/2006,"""13,8""","""12""","""15,4""","""13,4""","""97""","""2""","""2""","""8""","""0""","""0""","""0""","""6,1""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Verona,22/10/2006,"""14,9""","""11""","""19,6""","""14""","""94""","""3""","""2""","""5""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Verona,23/10/2006,"""14,9""","""13,8""","""17""","""14,8""","""99""","""2""","""3""","""9""","""0""","""0""","""0""","""3,1""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Verona,24/10/2006,"""18,1""","""13""","""24,2""","""16,3""","""89""","""10""","""5""","""11""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Verona,25/10/2006,"""16,2""","""10,8""","""22,2""","""13,8""","""86""","""6""","""4""","""11""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Verona,26/10/2006,"""15,9""","""11""","""22,4""","""13,7""","""87""","""5""","""3""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Verona,27/10/2006,"""13,6""","""8,8""","""18,2""","""13,2""","""97""","""1""","""2""","""5""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Verona,28/10/2006,"""16,1""","""11""","""22""","""14,7""","""91""","""3""","""4""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Verona,29/10/2006,"""14,4""","""9,6""","""21,4""","""13""","""91""","""3""","""4""","""9""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Verona,30/10/2006,"""14,3""","""9,6""","""21""","""10,1""","""76""","""6""","""10""","""21""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Verona,31/10/2006,"""13,4""","""8,6""","""19,4""","""9,7""","""78""","""10""","""6""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Verona,1/11/2006,"""12,2""","""8""","""18,4""","""8,4""","""78""","""6""","""4""","""13""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Verona,2/11/2006,"""9""","""1""","""14""","""-7,2""","""31""","""10""","""12""","""29""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Verona,3/11/2006,"""5,2""","""-2,6""","""14,2""","""-4,4""","""50""","""10""","""6""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Verona,4/11/2006,"""4,9""","""-2""","""12,2""","""-2,3""","""60""","""10""","""8""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Verona,5/11/2006,"""3,9""","""-1,2""","""10,2""","""1,4""","""84""","""6""","""3""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Verona,6/11/2006,"""5,3""","""-0,2""","""12,4""","""2,7""","""83""","""3""","""3""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Verona,7/11/2006,"""7,1""","""0,8""","""16,2""","""4""","""81""","""3""","""5""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Verona,8/11/2006,"""8,8""","""2,8""","""14,4""","""6,7""","""87""","""3""","""3""","""8""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Verona,9/11/2006,"""10,9""","""6""","""17,6""","""8,4""","""85""","""3""","""5""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Verona,10/11/2006,"""8,9""","""3""","""17,3""","""5,2""","""78""","""6""","""10""","""34""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Verona,11/11/2006,"""7,2""","""2""","""12""","""5,7""","""90""","""7""","""5""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Verona,12/11/2006,"""7,7""","""4""","""13""","""6,2""","""90""","""3""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Verona,13/11/2006,"""7,1""","""1,8""","""14""","""4,5""","""83""","""5""","""6""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Verona,14/11/2006,"""7,4""","""1,6""","""14""","""5,1""","""85""","""2""","""5""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Verona,15/11/2006,"""9,8""","""5,4""","""13,6""","""8,5""","""92""","""3""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Verona,16/11/2006,"""11,7""","""9,8""","""14,6""","""10,9""","""95""","""2""","""2""","""8""","""0""","""0""","""0""","""1""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Verona,17/11/2006,"""9,8""","""7""","""11,4""","""9,3""","""97""","""0""","""2""","""9""","""0""","""0""","""0""","""0,5""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Verona,18/11/2006,"""12,7""","""10""","""16,2""","""12,5""","""99""","""1""","""4""","""11""","""0""","""0""","""0""","""2""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Verona,19/11/2006,"""11,1""","""8""","""18""","""10,9""","""99""","""2""","""4""","""13""","""0""","""0""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Verona,20/11/2006,"""10,7""","""6""","""14,2""","""10,6""","""99""","""2""","""5""","""11""","""0""","""0""","""0""","""5,1""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Verona,21/11/2006,"""8,9""","""5,4""","""12""","""8,7""","""99""","""2""","""5""","""17""","""0""","""0""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Verona,22/11/2006,"""8,2""","""4""","""11""","""7,7""","""97""","""5""","""6""","""15""","""0""","""0""","""0""","""16""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Verona,23/11/2006,"""6,1""","""1""","""12""","""4,3""","""88""","""6""","""3""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Verona,24/11/2006,"""8,3""","""4,6""","""9,6""","""8,1""","""99""","""9""","""4""","""9""","""0""","""0""","""0""","""1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Verona,25/11/2006,"""9,6""","""7""","""12,2""","""9,4""","""99""","""4""","""3""","""11""","""0""","""0""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Verona,26/11/2006,"""9,6""","""6,6""","""11,2""","""9,1""","""97""","""1""","""3""","""11""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Verona,27/11/2006,"""10,6""","""9,4""","""11,6""","""9,9""","""95""","""2""","""3""","""9""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Verona,28/11/2006,"""10,4""","""10""","""12""","""9,9""","""97""","""5""","""3""","""8""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Verona,29/11/2006,"""8,3""","""3""","""12""","""6,9""","""91""","""7""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Verona,30/11/2006,"""7,4""","""1""","""16""","""4,5""","""82""","""9""","""5""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Verona,1/12/2006,"""7,4""","""4,6""","""13,2""","""5,7""","""89""","""11""","""7""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Verona,2/12/2006,"""6,4""","""4,2""","""9,4""","""6,2""","""99""","""5""","""2""","""5""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Verona,3/12/2006,"""7,6""","""4,8""","""9,6""","""7,4""","""99""","""2""","""3""","""5""","""0""","""0""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Verona,4/12/2006,"""7,6""","""7""","""9""","""7,4""","""99""","""2""","""4""","""13""","""0""","""0""","""0""","""3,1""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Verona,5/12/2006,"""8,6""","""6""","""11""","""8,3""","""98""","""3""","""3""","""9""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Verona,6/12/2006,"""10,3""","""7,8""","""13,6""","""10,3""","""100""","""4""","""4""","""13""","""0""","""0""","""0""","""2,5""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Verona,7/12/2006,"""10,7""","""10""","""12""","""10,4""","""98""","""2""","""4""","""11""","""0""","""0""","""0""","""2""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Verona,8/12/2006,"""11,9""","""9,4""","""15,6""","""11,2""","""95""","""6""","""15""","""31""","""0""","""0""","""0""","""0,5""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Verona,9/12/2006,"""11,6""","""7""","""16""","""9,6""","""88""","""11""","""16""","""34""","""0""","""0""","""0""","""7,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Verona,10/12/2006,"""8,2""","""4""","""12,8""","""5,3""","""82""","""11""","""10""","""22""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Verona,11/12/2006,"""4,6""","""-1,4""","""10,6""","""2,2""","""84""","""10""","""6""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Verona,12/12/2006,"""2,7""","""-2,4""","""9,6""","""0,7""","""87""","""10""","""3""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Verona,13/12/2006,"""3,7""","""-2""","""13,2""","""0,6""","""80""","""10""","""3""","""8""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Verona,14/12/2006,"""3,3""","""-2,8""","""12""","""1,1""","""85""","""8""","""3""","""9""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Verona,15/12/2006,"""2,8""","""-3""","""11,2""","""1,2""","""89""","""5""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Verona,16/12/2006,"""3,5""","""-1,2""","""8""","""2,5""","""93""","""6""","""3""","""9""","""0""","""0""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Verona,17/12/2006,"""7,1""","""5,4""","""9""","""6,9""","""99""","""6""","""2""","""5""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Verona,18/12/2006,"""7,1""","""5""","""9,4""","""6,4""","""95""","""7""","""11""","""28""","""0""","""0""","""0""","""18""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Verona,19/12/2006,"""5""","""2""","""8""","""1,9""","""80""","""11""","""5""","""15""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Verona,20/12/2006,"""2,6""","""-2""","""8,4""","""-0,1""","""82""","""10""","""6""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Verona,21/12/2006,"""3""","""-3,2""","""11""","""-2,3""","""68""","""10""","""7""","""22""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Verona,22/12/2006,"""3,3""","""-1""","""11""","""-2,3""","""67""","""10""","""7""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Verona,23/12/2006,"""2,8""","""-2""","""10,2""","""-0,8""","""77""","""10""","""8""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Verona,24/12/2006,"""3,9""","""-3""","""13,2""","""0,9""","""81""","""10""","""5""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Verona,25/12/2006,"""4,1""","""-0,4""","""13,4""","""1,3""","""82""","""9""","""4""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Verona,26/12/2006,"""2,1""","""-2,4""","""9""","""0""","""0""","""10""","""6""","""13""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Verona,27/12/2006,"""-2,4""","""-6""","""1,2""","""-2,6""","""99""","""2""","""5""","""11""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Verona,28/12/2006,"""-1,3""","""-2,2""","""-0,2""","""-1,4""","""99""","""1""","""4""","""9""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Verona,29/12/2006,"""0,4""","""-3""","""4,6""","""0,2""","""99""","""1""","""3""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Verona,30/12/2006,"""0,6""","""-3""","""3""","""0,4""","""99""","""1""","""4""","""9""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Verona,31/12/2006,"""3,9""","""2""","""8,2""","""3,3""","""96""","""2""","""2""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Verona,1/1/2007,"""4,2""","""3""","""5""","""4,1""","""99""","""2""","""3""","""11""","""0""","""1031""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Verona,2/1/2007,"""4,6""","""2,6""","""8,4""","""3,8""","""95""","""4""","""9""","""21""","""0""","""1018""","""0""","""3,1""","""pioggia temporale nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Verona,3/1/2007,"""5,1""","""-1,6""","""11,8""","""-5,2""","""47""","""10""","""11""","""18""","""0""","""1022""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Verona,4/1/2007,"""3,7""","""-0,4""","""7,4""","""0,8""","""81""","""11""","""4""","""11""","""0""","""1026""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Verona,5/1/2007,"""3,8""","""-1""","""10,6""","""0,6""","""80""","""10""","""4""","""9""","""0""","""1018""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Verona,6/1/2007,"""5,5""","""0,8""","""11""","""3,9""","""89""","""9""","""4""","""9""","""0""","""1025""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Verona,7/1/2007,"""6,1""","""4""","""8,4""","""5,7""","""97""","""3""","""2""","""5""","""0""","""1026""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Verona,8/1/2007,"""6,1""","""4""","""9,6""","""5,7""","""97""","""3""","""4""","""9""","""0""","""1023""","""0""","""0,5""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Verona,9/1/2007,"""5,2""","""2,2""","""10,4""","""4,8""","""97""","""2""","""4""","""11""","""0""","""1020""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Verona,10/1/2007,"""7,1""","""3,6""","""9,6""","""6,2""","""94""","""2""","""2""","""8""","""0""","""1027""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Verona,11/1/2007,"""7,6""","""6,6""","""9""","""7,4""","""99""","""1""","""4""","""9""","""0""","""1028""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Verona,12/1/2007,"""6,4""","""4""","""9,4""","""6,2""","""99""","""1""","""5""","""13""","""0""","""1019""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Verona,13/1/2007,"""5,4""","""3,8""","""6,6""","""5,2""","""99""","""1""","""5""","""9""","""0""","""1026""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Verona,14/1/2007,"""5,1""","""1,8""","""7""","""4,8""","""98""","""1""","""3""","""8""","""0""","""1027""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Verona,15/1/2007,"""3,1""","""-1,2""","""10,2""","""2,8""","""98""","""1""","""4""","""11""","""0""","""1031""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Verona,16/1/2007,"""3,1""","""1,8""","""4""","""2,9""","""99""","""1""","""5""","""11""","""0""","""1030""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Verona,17/1/2007,"""5,2""","""3,6""","""7,4""","""5,1""","""99""","""4""","""4""","""11""","""0""","""1029""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Verona,18/1/2007,"""4,7""","""2,8""","""6,2""","""4,7""","""100""","""1""","""6""","""9""","""0""","""1027""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Verona,19/1/2007,"""4,7""","""1""","""12""","""4,1""","""96""","""2""","""4""","""11""","""0""","""1015""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Verona,20/1/2007,"""4,2""","""-0,4""","""8,4""","""4,1""","""99""","""1""","""5""","""11""","""0""","""1020""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Verona,21/1/2007,"""7,3""","""4""","""9,8""","""7,1""","""99""","""1""","""3""","""13""","""0""","""1019""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Verona,22/1/2007,"""8,4""","""7""","""10""","""8,4""","""100""","""2""","""2""","""8""","""0""","""1017""","""0""","""0""","""pioggia nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Verona,23/1/2007,"""9,6""","""7""","""13""","""8,9""","""95""","""7""","""11""","""31""","""47""","""1004""","""0""","""7,9""","""pioggia temporale """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Verona,24/1/2007,"""4,7""","""2""","""8,2""","""2,3""","""84""","""11""","""7""","""24""","""0""","""994""","""0""","""5,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Verona,25/1/2007,"""2,6""","""1""","""4,2""","""1,6""","""93""","""10""","""15""","""31""","""0""","""1005""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Verona,26/1/2007,"""1,9""","""-0,4""","""4,2""","""-0,9""","""82""","""8""","""5""","""15""","""0""","""1017""","""0""","""0""","""pioggia neve """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Verona,27/1/2007,"""1,6""","""-2""","""7""","""-2,1""","""76""","""10""","""12""","""22""","""0""","""1019""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Verona,28/1/2007,"""1,1""","""-5""","""8,8""","""-0,8""","""87""","""6""","""4""","""13""","""0""","""1025""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Verona,29/1/2007,"""3,9""","""-1,2""","""12,4""","""1,4""","""84""","""7""","""5""","""24""","""0""","""1020""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Verona,30/1/2007,"""2,8""","""-2,2""","""10,4""","""1,1""","""89""","""3""","""5""","""11""","""0""","""1020""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Verona,31/1/2007,"""-0,4""","""-5""","""5""","""-0,6""","""99""","""1""","""3""","""11""","""0""","""1024""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Verona,1/2/2007,"""1,7""","""-1""","""4,4""","""1,6""","""99""","""1""","""3""","""8""","""0""","""1022""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Verona,2/2/2007,"""2,2""","""-2""","""9""","""1,9""","""98""","""1""","""6""","""18""","""0""","""1026""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Verona,3/2/2007,"""1,6""","""-0,2""","""3,4""","""1,4""","""99""","""0""","""6""","""13""","""0""","""1028""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Verona,4/2/2007,"""2""","""-3""","""7,4""","""1,6""","""97""","""3""","""8""","""18""","""0""","""1027""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Verona,5/2/2007,"""-1,1""","""-5""","""5""","""-1,7""","""96""","""1""","""2""","""8""","""0""","""1025""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
